@colour Calc,@drill Down,@Label,DEPENDENCY_NAME,DRILL_DOWN_FLAG,END_NODE_ID,FINAL_OBJECT,Null Highlight,OBJECT_NAME,PATH,Show PAth,START_NODE_ID,@Curve,@Sigmoid Curve,@X Axis,DEPENDENCY_TYPE,END_NODE_LEVEL,Range,START_NODE_LEVEL
Null,,,Node6.8,偽,-3,Node0,,Node5.7,0|-2|-3|-2|-2|-3|-3,偽,-3,-3,0.002472623,54,0,7,-6,6
Null,,,Node6.7,偽,-4,Node0,,Node5.7,0|-2|-3|-2|-2|-3|-4,偽,-3,-3.002472623,0.002472623,54,0,7,-6,6
Null,,,Node6.6,偽,-4,Node0,,Node5.5,0|-2|-3|-3|-3|-4|-4,偽,-4,-4,0.002472623,54,0,7,-6,6
Null,,,Node6.5,偽,-5,Node0,,Node5.5,0|-2|-3|-3|-3|-4|-5,偽,-4,-4.002472623,0.002472623,54,0,7,-6,6
Null,,,Node6.4,偽,-5,Node0,,Node5.3,0|-2|-3|-4|-4|-5|-5,偽,-5,-5,0.002472623,54,0,7,-6,6
Null,,,Node6.3,偽,-6,Node0,,Node5.3,0|-2|-3|-4|-4|-5|-6,偽,-5,-5.002472623,0.002472623,54,0,7,-6,6
Null,,,Node6.2,偽,-6,Node0,,Node5.1,0|-2|-3|-5|-5|-6|-6,偽,-6,-6,0.002472623,54,0,7,-6,6
Null,,,Node6.1,偽,-7,Node0,,Node5.1,0|-2|-3|-5|-5|-6|-7,偽,-6,-6.002472623,0.002472623,54,0,7,-6,6
Null,,,Node5.8,偽,-2,Node0,,Node4.4,0|-2|-3|-2|-2|-2,偽,-2,-2,0.002472623,42,0,6,-6,5
Null,Drill Down,,Node5.7,真,-3,Node0,,Node4.4,0|-2|-3|-2|-2|-3,偽,-2,-2.002472623,0.002472623,42,0,6,-6,5
Null,,,Node5.6,偽,-3,Node0,,Node4.3,0|-2|-3|-3|-3|-3,偽,-3,-3,0.002472623,42,0,6,-6,5
Null,Drill Down,,Node5.5,真,-4,Node0,,Node4.3,0|-2|-3|-3|-3|-4,偽,-3,-3.002472623,0.002472623,42,0,6,-6,5
Null,,,Node5.4,偽,-4,Node0,,Node4.2,0|-2|-3|-4|-4|-4,偽,-4,-4,0.002472623,42,0,6,-6,5
Null,Drill Down,,Node5.3,真,-5,Node0,,Node4.2,0|-2|-3|-4|-4|-5,偽,-4,-4.002472623,0.002472623,42,0,6,-6,5
Null,,,Node5.2,偽,-5,Node0,,Node4.1,0|-2|-3|-5|-5|-5,偽,-5,-5,0.002472623,42,0,6,-6,5
Null,Drill Down,,Node5.1,真,-6,Node0,,Node4.1,0|-2|-3|-5|-5|-6,偽,-5,-5.002472623,0.002472623,42,0,6,-6,5
Null,Drill Down,,Node4.4,真,-2,Node0,,Node3.4,0|-2|-3|-2|-2,偽,-2,-2,0.002472623,30,0,5,-6,4
Null,Drill Down,,Node4.3,真,-3,Node0,,Node3.3,0|-2|-3|-3|-3,偽,-3,-3,0.002472623,30,0,5,-6,4
Null,Drill Down,,Node4.2,真,-4,Node0,,Node3.2,0|-2|-3|-4|-4,偽,-4,-4,0.002472623,30,0,5,-6,4
Null,Drill Down,,Node4.1,真,-5,Node0,,Node3.1,0|-2|-3|-5|-5,偽,-5,-5,0.002472623,30,0,5,-6,4
Null,,,Node3.5,偽,-1,Node0,,Node2.1,0|-2|-3|-1,偽,-3,-2.995054754,0.002472623,18,0,4,-6,3
Null,Drill Down,,Node3.4,真,-2,Node0,,Node2.1,0|-2|-3|-2,偽,-3,-2.997527377,0.002472623,18,0,4,-6,3
Null,Drill Down,,Node3.3,真,-3,Node0,,Node2.1,0|-2|-3|-3,偽,-3,-3,0.002472623,18,0,4,-6,3
Null,Drill Down,,Node3.2,真,-4,Node0,,Node2.1,0|-2|-3|-4,偽,-3,-3.002472623,0.002472623,18,0,4,-6,3
Null,Drill Down,,Node3.1,真,-5,Node0,,Node2.1,0|-2|-3|-5,偽,-3,-3.004945246,0.002472623,18,0,4,-6,3
Null,,,Node2.2,偽,-2,Node0,,Node1.1,0|-2|-2,偽,-2,-2,0.002472623,6,0,3,-6,2
Null,Drill Down,,Node2.1,真,-3,Node0,,Node1.1,0|-2|-3,偽,-2,-2.002472623,0.002472623,6,0,3,-6,2
Null,,,Node1.5,偽,2,Node0,,Node0,0|2,真,0,0.004945246,0.002472623,-6,0,2,-6,1
Null,,,Node1.4,偽,1,Node0,,Node0,0|1,真,0,0.002472623,0.002472623,-6,0,2,-6,1
orange,,Node0,Node1.3,偽,0,Node0,,Node0,0|0,真,0,0,0.002472623,-6,0,2,-6,1
Null,,,Node1.2,偽,-1,Node0,,Node0,0|-1,真,0,-0.002472623,0.002472623,-6,0,2,-6,1
Null,Drill Down,,Node1.1,真,-2,Node0,,Node0,0|-2,真,0,-0.004945246,0.002472623,-6,0,2,-6,1
Null,,,Node6.8,偽,-3,Node0,,Node5.7,0|-2|-3|-2|-2|-3|-3,偽,-3,-3,0.003172683,54.25,0,7,-5.75,6
Null,,,Node6.7,偽,-4,Node0,,Node5.7,0|-2|-3|-2|-2|-3|-4,偽,-3,-3.003172683,0.003172683,54.25,0,7,-5.75,6
Null,,,Node6.6,偽,-4,Node0,,Node5.5,0|-2|-3|-3|-3|-4|-4,偽,-4,-4,0.003172683,54.25,0,7,-5.75,6
Null,,,Node6.5,偽,-5,Node0,,Node5.5,0|-2|-3|-3|-3|-4|-5,偽,-4,-4.003172683,0.003172683,54.25,0,7,-5.75,6
Null,,,Node6.4,偽,-5,Node0,,Node5.3,0|-2|-3|-4|-4|-5|-5,偽,-5,-5,0.003172683,54.25,0,7,-5.75,6
Null,,,Node6.3,偽,-6,Node0,,Node5.3,0|-2|-3|-4|-4|-5|-6,偽,-5,-5.003172683,0.003172683,54.25,0,7,-5.75,6
Null,,,Node6.2,偽,-6,Node0,,Node5.1,0|-2|-3|-5|-5|-6|-6,偽,-6,-6,0.003172683,54.25,0,7,-5.75,6
